date,name,value
2021-01-03,NZD,1.389405
2021-01-03,OMR,0.384969
2021-01-03,PAB,1.004953
2021-01-03,PEN,3.637889
2021-01-03,PGK,3.573785
2021-01-03,PHP,48.094978
2021-01-03,PKR,160.992836
2021-01-03,PLN,3.724834
2021-01-03,PYG,6951.00086
2021-01-03,QAR,3.64125
2021-01-03,RON,3.97713
2021-01-03,RSD,96.249957
2021-01-03,RUB,74.19075
2021-01-03,RWF,995.914692
2021-01-03,SAR,3.751702
2021-01-03,SBD,8.002049
2021-01-03,SCR,21.204306
2021-01-03,SDG,55.249652
2021-01-03,SEK,8.19741
2021-01-03,SGD,1.32071
2021-01-03,SHP,0.730858
2021-01-03,SLL,10116.498129
2021-01-03,SOS,583.000015
2021-01-03,SRD,14.153984
2021-01-03,STD,20834.863349
2021-01-03,SVC,8.793647
2021-01-03,SYP,512.847403
2021-01-03,SZL,14.745098
2021-01-03,THB,29.971502
2021-01-03,TJS,11.38352
2021-01-03,TMT,3.5
2021-01-03,TND,2.694503
2021-01-03,TOP,2.27405
2021-01-03,TRY,7.43717
2021-01-03,TTD,6.795284
2021-01-03,TWD,28.068998
2021-01-03,TZS,2318.53703
2021-01-03,UAH,28.475255
2021-01-03,UGX,3674.075893
2021-01-03,USD,1.0
2021-01-03,UYU,42.368496
2021-01-03,UZS,10528.773179
2021-01-03,VEF,9.987503
2021-01-03,VND,23080.0
2021-01-03,VUV,108.64172
2021-01-03,WST,2.529731
2021-01-03,XAF,537.031397
2021-01-03,XAG,0.037229
2021-01-03,XAU,0.000523
2021-01-03,XCD,2.70255
2021-01-03,XDR,0.697777
2021-01-03,XOF,537.031397
2021-01-03,XPF,98.050513
2021-01-03,YER,250.401494
2021-01-03,ZAR,14.654102
2021-01-03,ZMK,9001.193685
2021-01-03,ZMW,21.274796
2021-01-03,ZWL,322.000186
2021-01-04,AED,3.6732
2021-01-04,AFN,77.199587
2021-01-04,ALL,100.324981
2021-01-04,AMD,522.58981
2021-01-04,ANG,1.794159
2021-01-04,AOA,654.159893
2021-01-04,ARS,84.629106
2021-01-04,AUD,1.303951
2021-01-04,AWG,1.8
2021-01-04,AZN,1.703286
2021-01-04,BAM,1.590248
2021-01-04,BBD,2.018164
2021-01-04,BDT,84.766036
2021-01-04,BGN,1.597307
2021-01-04,BHD,0.377083
2021-01-04,BIF,1946.0
2021-01-04,BMD,1.0
2021-01-04,BND,1.316594
2021-01-04,BOB,6.881835
2021-01-04,BRL,5.296798
2021-01-04,BSD,0.999528
2021-01-04,BTC,3.1274049e-05
2021-01-04,BTN,72.988909
2021-01-04,BWP,10.753651
2021-01-04,BYN,2.5808
2021-01-04,BYR,19600.0
2021-01-04,BZD,2.014831
2021-01-04,CAD,1.27835
2021-01-04,CDF,1969.999836
2021-01-04,CHF,0.88129
2021-01-04,CLF,0.025525
2021-01-04,CLP,704.303175
2021-01-04,CNY,6.461597
2021-01-04,COP,3449.5
2021-01-04,CRC,610.14937
2021-01-04,CUC,1.0
2021-01-04,CUP,26.5
2021-01-04,CVE,90.125018
2021-01-04,CZK,21.376101
2021-01-04,DJF,177.720055
2021-01-04,DKK,6.07296
2021-01-04,DOP,58.198486
2021-01-04,DZD,132.194467
2021-01-04,EGP,15.73836
2021-01-04,ERN,14.999949
2021-01-04,ETB,39.195264
2021-01-04,EUR,0.816245
2021-01-04,FJD,2.042102
2021-01-04,FKP,0.736916
2021-01-04,GBP,0.736914
2021-01-04,GEL,3.29021
2021-01-04,GGP,0.736916
2021-01-04,GHS,5.86019
2021-01-04,GIP,0.736916
2021-01-04,GMD,51.750396
2021-01-04,GNF,10019.999943
2021-01-04,GTQ,7.791492
2021-01-04,GYD,208.935686
2021-01-04,HKD,7.75327
2021-01-04,HNL,24.234946
2021-01-04,HRK,6.172198
2021-01-04,HTG,72.737917
2021-01-04,HUF,295.289648
2021-01-04,IDR,13938.7
2021-01-04,ILS,3.208919
2021-01-04,IMP,0.736916
2021-01-04,INR,73.330062
2021-01-04,IQD,1459.325631
2021-01-04,IRR,42104.999768
2021-01-04,ISK,127.419688
2021-01-04,JEP,0.736916
2021-01-04,JMD,142.386594
2021-01-04,JOD,0.709012
2021-01-04,JPY,103.130269
2021-01-04,KES,109.300615
2021-01-04,KGS,83.227999
2021-01-04,KHR,4044.999736
2021-01-04,KMF,402.22494
2021-01-04,KPW,900.065543
2021-01-04,KRW,1086.694991
2021-01-04,KWD,0.304102
2021-01-04,KYD,0.83292
2021-01-04,KZT,421.249055
2021-01-04,LAK,9299.999715
